paraphraser,iteration,dep_depth,dep_std
chatgpt,T0,5.372957145812684,1.809089509689248
chatgpt,T1,5.603567993898757,1.4353047186120365
chatgpt,T2,5.619443575010942,1.4296954452019737
chatgpt,T3,5.639696365326234,1.453411412521146
palm,T0,5.372957145812684,1.809089509689248
palm,T1,5.140883703661962,1.9727574995885884
palm,T2,5.151632964714745,2.010172187339314
palm,T3,4.784137707903977,2.2966083303996903
dipper_low,T0,5.372957145812684,1.809089509689248
dipper_low,T1,5.415145915352337,5.75754088199585
dipper_low,T2,5.387623129703541,3.6722374525685972
dipper_low,T3,5.495436829479276,11.725110321038814
dipper_bare,T0,5.372957145812684,1.809089509689248
dipper_bare,T1,5.3362530332129055,1.706542703580581
dipper_bare,T2,5.24724325041733,1.6456674976015364
dipper_bare,T3,5.188183931449876,2.099713145247893
dipper_high,T0,5.372957145812684,1.809089509689248
dipper_high,T1,5.321600179332896,1.6724169114931269
dipper_high,T2,5.254088943130725,1.8878611571144852
dipper_high,T3,5.11457709279951,2.001392158053986
pegasus_slight,T0,5.372957145812684,1.809089509689248
pegasus_slight,T1,5.204876712690802,1.6446371506506514
pegasus_slight,T2,5.0674578856264,1.6092372890616227
pegasus_slight,T3,4.946342278635875,1.6635647905592723
pegasus_full,T0,5.372957145812684,1.809089509689248
pegasus_full,T1,4.764155093078714,1.4973606569768907
pegasus_full,T2,4.35210196158139,1.5117631750475264
pegasus_full,T3,4.165140892596953,1.5701246775110496
